"","year","year_code","country_name","country_code","gdp","foreign_inv_inflows","life_exp","exports_perc_gdp","inflation_perc","education_years","education_perc_gdp","gds_perc_gdp","gross_savings_perc_gdp","int_tourism_arrivals","int_tourism_receipts","gni","perc_internet_users","hdi","hdi_cat"
"1",2020,"YR2020","Afghanistan","AFG",4055179566.34981,5e+07,56.784,15.8606371712111,12.6862687216715,6,3.4794499874115,8.30925608409851,13.631081215314,104000,3.6e+07,15884505937.9604,0.0045614,0.511,"low"
"2",2020,"YR2020","Albania","ALB",4348070165.19261,1.35e+08,74.579,20.9456511360868,7.7705258343155,8,3.11779999732971,8.63026445768279,25.9386666800329,1247000,4.92e+08,4475531638.29414,0.390081,0.795,"high"
"3",2020,"YR2020","Algeria","DZA",56760246981.7525,1064960000,71.605,35.5045602584257,1.41830192345045,10,4.33701992034912,40.5282271705172,51.8608352051963,988000,1.11e+08,54530246981.7525,1.59164,0.748,"high"
"4",2020,"YR2020","Angola","AGO",15285594828.418,1743504000,47.702,57.0849959046266,8.05031446540872,4,2.12011003494263,39.3615726233684,28.8768162146426,91000,5.1e+07,13650938445.0336,0.270377,0.581,"medium"
"5",2020,"YR2020","Antigua and Barbuda","ATG",814381481.481481,65865064.8148148,74.395,91.6942191983919,2.40765801293492,11,3.39427995681763,16.3828035819049,11.9828950851134,218000,2.74e+08,772934777.777778,12.5,0.778,"high"
"6",2020,"YR2020","Argentina","ARG",97724004251.8602,2148910000,73.932,28.3825969991682,2.48939816650703,10,4.01734018325806,25.866328843816,21.3431768782392,2820000,1.716e+09,92763789032.7018,10.8821,0.845,"very high"
"7",2020,"YR2020","Armenia","ARM",2376335048.39976,110725325.614409,72.112,27.832108365994,1.06004929341667,12,2.13504004478455,-2.8695128126331,10.2454058280206,162000,8.1e+07,2458706347.955,1.96041,0.776,"high"
"8",2020,"YR2020","Australia","AUS",394648911678.527,14656321800.5386,79.9365853658537,20.77459420115,2.98157453936349,10,4.91029977798462,24.4850202783416,21.8456904545298,4841000,1.2148e+10,383921096693.177,52.6893,0.944,"very high"
"9",2020,"YR2020","Austria","AUT",213377771503.858,138346430.7562,78.6780487804878,45.31938619858,1.81035953871319,13,5.52213001251221,27.6213946823083,26.0564137841862,18611000,1.2334e+10,212139375117.636,36.56,0.922,"very high"
"10",2020,"YR2020","Azerbaijan","AZE",6235856819.58445,2024577000,67.391,42.7678350515464,2.7711647199827,10,3.15445995330811,24.6944329896907,19.6539096973196,576000,6.3e+07,5851180004.11438,4.99971,0.756,"high"
"11",2020,"YR2020","Bahamas, The","BHS",8881160000,152790000,71.977,36.175454557738,2.17357792508091,12,6.46638011932373,33.7203698615947,32.1215395849191,1513000,1.773e+09,8696814900,18,0.814,"very high"
"12",2020,"YR2020","Bahrain","BHR",9593510638.29787,216986881.649309,74.822,72.5085662959225,-0.495540138751155,9,2.49677991867065,37.2312290000998,22.8278174519567,4831000,9.85e+08,9068566223.40425,18.0507,0.852,"very high"
"13",2020,"YR2020","Bangladesh","BGD",54724081490.5102,52304931.038967,66.43,12.4099689322019,3.33256493271908,5,2.01714992523193,20.8389387311458,30.7491764310818,207000,5.9e+07,56908044576.0056,0.13992,0.632,"medium"
"14",2020,"YR2020","Barbados","BRB",3106500000,228343253.8,77.534,38.9859971028489,0.125249458055994,11,5.88062000274658,11.3342990503782,9.52174062530179,498000,6.66e+08,2987550000,27.8363,0.814,"very high"
"15",2020,"YR2020","Belarus","BLR",14594249022.8922,247100000,68.0560975609756,63.6275159440361,42.5375481348794,9,5.7122597694397,19.479461173833,20.49151972393,63000,2.95e+08,14543051367.9509,8.95097,0.823,"very high"
