Time,Time Code,Country Name,Country Code,GDP (current US$),Gini index (World Bank estimate),"Foreign direct investment, net inflows (BoP, current US$)","Life expectancy at birth, total (years)",Exports of goods and services (% of GDP),Poverty headcount ratio at national poverty lines (% of population),"Inflation, consumer prices (annual %)","Compulsory education, duration (years)","Government expenditure on education, total (% of GDP)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Arms imports (SIPRI trend indicator values),Fossil fuel energy consumption (% of total),Gross domestic savings (% of GDP),Gross savings (% of GDP),Human capital index (HCI) (scale 0-1),Research and development expenditure (% of GDP),"International tourism, number of arrivals","International tourism, receipts (current US$)","International tourism, number of departures",GNI (current US$),Individuals using the Internet (% of population)
2002,YR2002,Afghanistan,AFG,4055179566.34981,..,50000000,56.784,..,..,..,6,..,..,..,..,34000000,..,..,..,..,..,..,..,..,..,0.0045614
2002,YR2002,Albania,ALB,4348070165.19261,31.7,135000000,74.579,20.9456511360868,25.4,7.7705258343155,8,3.11779999732971,..,..,..,..,63.233130384996,8.63026445768279,25.9386666800329,..,..,..,492000000,1303000,4475531638.29414,0.390081
2002,YR2002,Algeria,DZA,56760246981.7525,..,1064960000,71.605,35.5045602584257,..,1.41830192345045,10,..,..,..,..,249000000,99.7404291366082,40.5282271705172,..,..,0.3664,988000,111000000,1257000,54530246981.7525,1.59164
2002,YR2002,American Samoa,ASM,514000000,..,..,..,100.778210116732,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2002,YR2002,Andorra,AND,1755910031.99699,..,..,..,..,..,..,10,1.65971004962921,..,..,..,..,..,..,..,..,..,3387000,..,..,..,11.2605
2002,YR2002,Angola,AGO,15285594828.418,..,1743504000,47.702,57.0849959046266,..,..,4,..,..,..,..,148000000,28.1478041542876,39.3615726233684,28.8768162146426,..,..,91000,51000000,..,13650938445.0336,0.270377
2002,YR2002,Antigua and Barbuda,ATG,814381481.481481,..,65865064.8148148,74.395,91.6942191983919,..,2.40765801293492,11,3.39427995681763,..,..,..,..,..,16.3828035819049,11.9828950851134,..,..,218000,274000000,..,772934777.777778,12.5
2002,YR2002,Argentina,ARG,97724004251.8602,53.8,2148910000,73.932,28.3825969991682,..,..,10,4.01734018325806,..,..,..,15000000,85.8034079487598,25.866328843816,21.3431768782392,..,0.38886,2820000,1716000000,3008000,92763789032.7018,10.8821
2002,YR2002,Armenia,ARM,2376335048.39976,34.8,110725325.614409,72.112,27.832108365994,..,1.06004929341667,10,2.13504004478455,..,..,..,..,61.8060966393765,-2.8695128126331,10.2454058280206,..,0.25255,162000,81000000,131000,2458706347.955,1.96041
2002,YR2002,Aruba,ABW,1941340782.12291,..,332513966.480447,73.937,64.9208633093525,..,3.31524678585428,..,4.92364978790283,..,..,..,..,..,22.4460431654676,12.016690647482,..,..,643000,835000000,..,1805642458.10056,18.8
