Time,Time Code,Country Name,Country Code,GDP (current US$),Gini index (World Bank estimate),"Foreign direct investment, net inflows (BoP, current US$)","Life expectancy at birth, total (years)",Exports of goods and services (% of GDP),Poverty headcount ratio at national poverty lines (% of population),"Inflation, consumer prices (annual %)","Compulsory education, duration (years)","Government expenditure on education, total (% of GDP)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Arms imports (SIPRI trend indicator values),Fossil fuel energy consumption (% of total),Gross domestic savings (% of GDP),Gross savings (% of GDP),Human capital index (HCI) (scale 0-1),Research and development expenditure (% of GDP),"International tourism, number of arrivals","International tourism, receipts (current US$)","International tourism, number of departures",GNI (current US$),Individuals using the Internet (% of population),Access to electricity (% of population),Agricultural land (% of land area),"Birth rate, crude (per 1,000 people)",External debt stocks (% of GNI),"Fertility rate, total (births per woman)",Gross national expenditure (% of GDP),High-technology exports (current US$),Lending interest rate (%),Mobile cellular subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)","Patent applications, residents",Prevalence of current tobacco use (% of adults),Sex ratio at birth (male births per female births),Taxes on goods and services (% of revenue),"Taxes on income, profits and capital gains (% of revenue)",Taxes on international trade (% of revenue),Total greenhouse gas emissions (kt of CO2 equivalent),Urban population (% of total population)
2002,YR2002,Afghanistan,AFG,4055179566.34981,..,50000000,56.784,..,..,..,6,..,..,..,..,34000000,..,..,..,..,..,..,..,..,..,0.0045614,..,57.8270992249487,46.901,..,7.272,..,..,..,0.110616,84.9,..,..,1.06,..,..,..,13842.7381,22.261
2002,YR2002,Albania,ALB,4348070165.19261,31.7,135000000,74.579,20.9456511360868,25.4,7.7705258343155,8,3.11779999732971,..,..,..,..,63.233130384996,8.63026445768279,25.9386666800329,..,..,..,492000000,1303000,4475531638.29414,0.390081,..,41.6058394160584,14.79,26.3751195857912,1.981,126.63378150953,..,15.3041666666667,27.2217,21.7,..,..,1.116,51.9161889009524,16.7307108540464,10.7309092763886,7503.05976,43.501
2002,YR2002,Algeria,DZA,56760246981.7525,..,1064960000,71.605,35.5045602584257,..,1.41830192345045,10,..,..,..,..,249000000,99.7404291366082,40.5282271705172,..,..,0.3664,988000,111000000,1257000,54530246981.7525,1.59164,..,16.7335645368512,19.27,42.2184895679438,2.403,90.1251644456826,..,8.58333333333333,1.41341,32.4,43,..,1.05,..,..,..,131222.654,61.501
2002,YR2002,American Samoa,ASM,514000000,..,..,..,100.778210116732,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.5,..,..,..,..,..,..,3.44617,..,..,..,..,..,..,..,51.34821,88.394
2002,YR2002,Andorra,AND,1755910031.99699,..,..,..,..,..,..,10,1.65971004962921,..,..,..,..,..,..,..,..,..,3387000,..,..,..,11.2605,100,48.6170220882334,11.2,..,..,..,..,..,46.8101,6.1,..,..,..,..,..,..,..,91.641
2002,YR2002,Angola,AGO,15285594828.418,..,1743504000,47.702,57.0849959046266,..,..,4,..,..,..,..,148000000,28.1478041542876,39.3615726233684,28.8768162146426,..,..,91000,51000000,..,13650938445.0336,0.270377,25.0560569763184,46.0335285152803,47.911,66.7319448796885,6.567,91.131600501965,..,97.3358333333333,0.799113,114.2,..,..,1.02,7.15350296731214,43.719134019082,4.51136912550104,34490.369,52.461
2002,YR2002,Antigua and Barbuda,ATG,814381481.481481,..,65865064.8148148,74.395,91.6942191983919,..,2.40765801293492,11,3.39427995681763,..,..,..,..,..,16.3828035819049,11.9828950851134,..,..,218000,274000000,..,772934777.777778,12.5,..,20.4545454545455,19.339,..,2.166,105.765338839292,..,11.387913378312,48.7962,12.4,..,..,1.03,..,..,..,406.432042,31.098
2002,YR2002,Argentina,ARG,97724004251.8602,53.8,2148910000,73.932,28.3825969991682,..,..,10,4.01734018325806,..,..,..,15000000,85.8034079487598,25.866328843816,21.3431768782392,..,0.38886,2820000,1716000000,3008000,92763789032.7018,10.8821,96.10791015625,47.031267699301,19.175,159.890183546743,2.486,84.9875763964425,..,..,17.4268,16.4,718,..,1.04,41.0543406916088,12.6214994802413,18.852636636863,311051.93,89.51
2002,YR2002,Armenia,ARM,2376335048.39976,34.8,110725325.614409,72.112,27.832108365994,..,1.06004929341667,10,2.13504004478455,..,..,..,..,61.8060966393765,-2.8695128126331,10.2454058280206,..,0.25255,162000,81000000,131000,2458706347.955,1.96041,98,48.8584474885845,13.208,69.9371558433651,1.635,128.28780957432,..,21.1369819305524,2.35167,24.6,200,..,1.173,..,..,..,6460.2393,64.236
2002,YR2002,Aruba,ABW,1941340782.12291,..,332513966.480447,73.937,64.9208633093525,..,3.31524678585428,..,4.92364978790283,..,..,..,..,..,22.4460431654676,12.016690647482,..,..,643000,835000000,..,1805642458.10056,18.8,100,11.1111111111111,13.375,..,1.823,104.460431654676,..,11.3,65.0581,..,1,..,1.05,..,..,..,..,45.972
2002,YR2002,Australia,AUS,394648911678.527,..,14656321800.5386,79.9365853658537,20.77459420115,..,2.98157453936349,10,..,..,..,..,663000000,95.8902147872363,24.4850202783416,21.8456904545298,..,1.75161,4841000,12148000000,3461000,383921096693.177,52.6893,100,58.1856995951733,12.8,..,1.756,100.008087471976,..,6.3625,65.3047,5,2364,..,1.055,25.4334466826271,62.37870863132,2.65023864346818,1117450.02,84.222
